semantic,metric,direction,boundary,n,mean,q25,q75,mean_clipscore_drop
color,lpips,prefix,1,50,0.11872061111964285,0.05309213325381279,0.16843274980783463,-0.005437895059585572
color,lpips,prefix,2,50,0.11555591369979083,0.05473880376666784,0.16020866483449936,-0.003648463487625122
color,lpips,prefix,3,50,0.13247883634641766,0.06041279714554548,0.1708259880542755,-0.005859601497650147
color,lpips,prefix,4,50,0.13930167780257763,0.0522375488653779,0.19568653404712677,-0.001747763156890869
color,lpips,prefix,5,50,0.13892551995813845,0.051786147989332676,0.19512996450066566,-0.0005915844440460205
color,lpips,prefix,6,50,0.1426420515216887,0.06063094362616539,0.18599830567836761,0.00022423624992370605
color,lpips,prefix,7,50,0.14347919588442892,0.08098015561699867,0.1855221912264824,-0.0038816297054290773
color,lpips,prefix,8,50,0.14478957458399236,0.07424081303179264,0.18798549845814705,-0.0020026755332946777
color,lpips,prefix,9,50,0.14409594305092469,0.07418705523014069,0.18978719785809517,-0.003148620128631592
color,lpips,prefix,10,50,0.14396725840168073,0.07456216961145401,0.18977589532732964,-0.0032182240486145017
color,lpips,suffix,0,50,0.14396725840168073,0.07456216961145401,0.18977589532732964,-0.0032182240486145017
color,lpips,suffix,1,50,0.1351928216032684,0.07636966183781624,0.17795949429273605,-0.002457857131958008
color,lpips,suffix,2,50,0.12963383058202452,0.06030171737074852,0.17035990953445435,-0.0003428316116333008
color,lpips,suffix,3,50,0.12899326792918145,0.05883442983031273,0.17180921882390976,-0.0040001988410949705
color,lpips,suffix,4,50,0.10426683761179448,0.05574633460491896,0.14111345633864403,-0.0011584424972534179
color,lpips,suffix,5,50,0.10698650981299579,0.058322690427303314,0.14240075647830963,-0.002248262166976929
color,lpips,suffix,6,50,0.08513059753924608,0.05959733482450247,0.11575979925692081,-0.005529597997665405
color,lpips,suffix,7,50,0.04402926258277148,0.0200178362429142,0.06178364343941212,-0.0036401438713073732
color,lpips,suffix,8,50,0.019337250236421823,0.009302763035520911,0.029685277491807938,0.0013595247268676758
color,lpips,suffix,9,50,0.003308814549818635,0.0017290192190557718,0.004992572357878089,6.270289421081543e-05
color,lpips,suffix,10,50,0.0,0.0,0.0,0.0
color,clipscore,prefix,0,50,0.9018439745903015,0.861533060669899,0.9446021318435669,0.0
color,clipscore,prefix,1,50,0.9072818696498871,0.869162455201149,0.9531814455986023,-0.005437895059585572
color,clipscore,prefix,2,50,0.9054924380779267,0.8556599915027618,0.9518230259418488,-0.003648463487625122
color,clipscore,prefix,3,50,0.9077035760879517,0.8669379949569702,0.9540451765060425,-0.005859601497650147
color,clipscore,prefix,4,50,0.9035917377471924,0.8604827225208282,0.948357492685318,-0.001747763156890869
color,clipscore,prefix,5,50,0.9024355590343476,0.8616313934326172,0.948138028383255,-0.0005915844440460205
color,clipscore,prefix,6,50,0.9016197383403778,0.8674855083227158,0.9449388235807419,0.00022423624992370605
color,clipscore,prefix,7,50,0.9057256042957306,0.8648985773324966,0.9499565213918686,-0.0038816297054290773
color,clipscore,prefix,8,50,0.9038466501235962,0.860118180513382,0.9508356004953384,-0.0020026755332946777
color,clipscore,prefix,9,50,0.9049925947189331,0.8629172742366791,0.942596510052681,-0.003148620128631592
color,clipscore,prefix,10,50,0.905062198638916,0.8624570518732071,0.9451082944869995,-0.0032182240486145017
color,clipscore,suffix,0,50,0.905062198638916,0.8624570518732071,0.9451082944869995,-0.0032182240486145017
color,clipscore,suffix,1,50,0.9043018317222595,0.8641027808189392,0.9342102706432343,-0.002457857131958008
color,clipscore,suffix,2,50,0.9021868062019348,0.8678362518548965,0.9416484832763672,-0.0003428316116333008
color,clipscore,suffix,3,50,0.9058441734313964,0.8689091801643372,0.9453105628490448,-0.0040001988410949705
color,clipscore,suffix,4,50,0.9030024170875549,0.8568313121795654,0.9444171488285065,-0.0011584424972534179
color,clipscore,suffix,5,50,0.9040922367572785,0.8608928620815277,0.946359395980835,-0.002248262166976929
color,clipscore,suffix,6,50,0.9073735725879669,0.8716094791889191,0.9509399682283401,-0.005529597997665405
color,clipscore,suffix,7,50,0.9054841184616089,0.8725743144750595,0.9534136950969696,-0.0036401438713073732
color,clipscore,suffix,8,50,0.9004844498634338,0.861322358250618,0.9450384825468063,0.0013595247268676758
color,clipscore,suffix,9,50,0.9017812716960907,0.8716450482606888,0.9453478902578354,6.270289421081543e-05
color,clipscore,suffix,10,50,0.9018439745903015,0.861533060669899,0.9446021318435669,0.0
shape,lpips,prefix,0,50,0.0,0.0,0.0,0.0
shape,lpips,prefix,1,50,0.11783086005132645,0.048315505497157574,0.15576007962226868,0.0022007572650909425
shape,lpips,prefix,2,50,0.15751036222092807,0.05421147495508194,0.23458926007151604,0.0025785517692565917
shape,lpips,prefix,3,50,0.14432489268714563,0.04545379616320133,0.22384091094136238,0.0002850031852722168
shape,lpips,prefix,4,50,0.13767996951006353,0.04055267293006182,0.20184965431690216,-0.0020889663696289063
shape,lpips,prefix,5,50,0.13815527310594916,0.05618173535913229,0.19320808351039886,0.0009584414958953857
shape,lpips,prefix,6,50,0.13881852535530925,0.05309561546891928,0.189749114215374,-3.1142234802246095e-05
shape,lpips,prefix,7,50,0.13785751383751632,0.05176743306219578,0.17822615429759026,0.00025083780288696287
shape,lpips,prefix,8,50,0.1401633819192648,0.060700202360749245,0.18155863881111145,-0.0007145249843597412
shape,lpips,prefix,9,50,0.14016731867566704,0.06120563670992851,0.17945102229714394,-0.0009533905982971191
shape,lpips,prefix,10,50,0.14026824422180653,0.06255203392356634,0.17919209972023964,2.5393962860107423e-05
shape,lpips,suffix,0,50,0.14026824422180653,0.06255203392356634,0.17919209972023964,2.5393962860107423e-05
shape,lpips,suffix,1,50,0.15427001854404807,0.058706337586045265,0.24054508283734322,-0.0018546247482299804
shape,lpips,suffix,2,50,0.159093575081788,0.05979778245091438,0.2534315213561058,0.00013140439987182617
