semantic,direction,boundary,n,mean,median,q25,q75,min,max,up,down,unchanged
shape,suffix,8,50,0.0012552034854888916,0.0012691617012023926,-0.004700586199760437,0.007059067487716675,-0.02452850341796875,0.023641645908355713,30,20,0
shape,suffix,9,50,-6.628751754760742e-05,7.802248001098633e-05,-0.00283128023147583,0.0027768462896347046,-0.010619878768920898,0.008649885654449463,25,24,1
shape,suffix,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
texture,prefix,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
texture,prefix,1,50,0.0039487481117248535,-0.0017412006855010986,-0.007607385516166687,0.012695357203483582,-0.03706568479537964,0.06664162874221802,24,26,0
texture,prefix,2,50,-0.0004871129989624023,-0.0024453699588775635,-0.012375414371490479,0.01106572151184082,-0.048734843730926514,0.06920802593231201,22,28,0
texture,prefix,3,50,0.005758861303329468,0.00406685471534729,-0.004221752285957336,0.018627449870109558,-0.05348658561706543,0.05304372310638428,33,17,0
texture,prefix,4,50,0.005232517719268799,0.005478262901306152,-0.007183507084846497,0.01638980209827423,-0.035806477069854736,0.04856371879577637,32,18,0
texture,prefix,5,50,0.005700112581253052,0.0032340586185455322,-0.007758468389511108,0.016405820846557617,-0.03598630428314209,0.07438105344772339,30,20,0
texture,prefix,6,50,-0.0004991734027862549,-0.0018696188926696777,-0.01541978120803833,0.010140731930732727,-0.04665416479110718,0.061874210834503174,23,27,0
texture,prefix,7,50,0.0036889255046844483,-0.00015395879745483398,-0.011283710598945618,0.01853574812412262,-0.04547536373138428,0.10496276617050171,25,25,0
texture,prefix,8,50,0.0020870840549468994,0.004219412803649902,-0.007205337285995483,0.014102473855018616,-0.0659710168838501,0.054616332054138184,30,20,0
texture,prefix,9,50,0.0018966889381408691,0.002081751823425293,-0.011338114738464355,0.012848332524299622,-0.05935788154602051,0.07368427515029907,27,23,0
texture,prefix,10,50,0.0013823068141937255,0.00033086538314819336,-0.011048629879951477,0.016114935278892517,-0.06468892097473145,0.07235169410705566,25,25,0
texture,suffix,0,50,0.0013823068141937255,0.00033086538314819336,-0.011048629879951477,0.016114935278892517,-0.06468892097473145,0.07235169410705566,25,25,0
texture,suffix,1,50,0.0011676836013793945,0.0009897351264953613,-0.01200711727142334,0.016140714287757874,-0.04673105478286743,0.05018460750579834,26,24,0
texture,suffix,2,50,-0.0012781810760498047,-0.004151463508605957,-0.018314167857170105,0.010660141706466675,-0.0469551682472229,0.07106173038482666,21,29,0
