semantic,subtype,direction,boundary,n_total,n_valid,n_errors,n_pairs,success_rate,paired_delta,gained_success_n,lost_success_n,paired_baseline_rate,uncertain_rate,missing_rate,baseline_correct_n,retention,count_mae,count_numeric_n,statuses
object,all,prefix,0,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,all,prefix,1,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,all,prefix,2,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,all,prefix,3,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,all,prefix,4,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,all,prefix,5,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,all,prefix,6,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,all,prefix,7,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,all,prefix,8,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,all,prefix,9,50,50,0,50,0.88,-0.06,0,3,0.94,0.0,0.0,47,0.9361702127659575,,0,"{""correct"": 44, ""incorrect"": 6}"
object,all,prefix,10,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,all,suffix,0,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,all,suffix,1,50,50,0,50,0.86,-0.08,0,4,0.94,0.0,0.0,47,0.9148936170212766,,0,"{""correct"": 43, ""incorrect"": 7}"
object,all,suffix,2,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,all,suffix,3,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,all,suffix,4,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,all,suffix,5,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,all,suffix,6,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,all,suffix,7,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,all,suffix,8,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,all,suffix,9,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
object,all,suffix,10,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,identity,prefix,0,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,identity,prefix,1,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,identity,prefix,2,50,50,0,50,0.9,-0.04,0,2,0.94,0.0,0.0,47,0.9574468085106383,,0,"{""correct"": 45, ""incorrect"": 5}"
object,identity,prefix,3,50,50,0,50,0.94,0.0,0,0,0.94,0.0,0.0,47,1.0,,0,"{""correct"": 47, ""incorrect"": 3}"
object,identity,prefix,4,50,50,0,50,0.92,-0.02,0,1,0.94,0.0,0.0,47,0.9787234042553191,,0,"{""correct"": 46, ""incorrect"": 4}"
