semantic,subtype,direction,boundary,n_total,n_valid,n_errors,n_pairs,success_rate,paired_delta,gained_success_n,lost_success_n,paired_baseline_rate,uncertain_rate,missing_rate,baseline_correct_n,retention,count_mae,count_numeric_n,statuses
texture,all,prefix,9,50,50,0,50,0.86,0.06,4,1,0.8,0.0,0.0,40,0.975,,0,"{""correct"": 43, ""incorrect"": 7}"
texture,all,prefix,10,50,50,0,50,0.84,0.04,4,2,0.8,0.0,0.0,40,0.95,,0,"{""correct"": 42, ""incorrect"": 8}"
texture,all,suffix,0,50,50,0,50,0.84,0.04,4,2,0.8,0.0,0.0,40,0.95,,0,"{""correct"": 42, ""incorrect"": 8}"
texture,all,suffix,1,50,50,0,50,0.86,0.06,3,0,0.8,0.0,0.02,40,1.0,,0,"{""correct"": 43, ""incorrect"": 6, ""missing"": 1}"
texture,all,suffix,2,50,50,0,50,0.78,-0.02,3,4,0.8,0.0,0.02,40,0.9,,0,"{""correct"": 39, ""incorrect"": 10, ""missing"": 1}"
texture,all,suffix,3,50,50,0,50,0.84,0.04,2,0,0.8,0.0,0.02,40,1.0,,0,"{""correct"": 42, ""incorrect"": 7, ""missing"": 1}"
texture,all,suffix,4,50,50,0,50,0.82,0.02,3,2,0.8,0.0,0.0,40,0.95,,0,"{""correct"": 41, ""incorrect"": 9}"
texture,all,suffix,5,50,50,0,50,0.8,0.0,1,1,0.8,0.0,0.02,40,0.975,,0,"{""correct"": 40, ""incorrect"": 9, ""missing"": 1}"
texture,all,suffix,6,50,50,0,50,0.8,0.0,2,2,0.8,0.0,0.02,40,0.95,,0,"{""correct"": 40, ""incorrect"": 9, ""missing"": 1}"
texture,all,suffix,7,50,50,0,50,0.86,0.06,4,1,0.8,0.0,0.02,40,0.975,,0,"{""correct"": 43, ""incorrect"": 6, ""missing"": 1}"
texture,all,suffix,8,50,50,0,50,0.86,0.06,3,0,0.8,0.0,0.02,40,1.0,,0,"{""correct"": 43, ""incorrect"": 6, ""missing"": 1}"
texture,all,suffix,9,50,50,0,50,0.8,0.0,2,2,0.8,0.0,0.02,40,0.95,,0,"{""correct"": 40, ""incorrect"": 9, ""missing"": 1}"
texture,all,suffix,10,50,50,0,50,0.8,0.0,0,0,0.8,0.0,0.02,40,1.0,,0,"{""correct"": 40, ""incorrect"": 9, ""missing"": 1}"
texture,pattern,prefix,0,30,30,0,30,0.8666666666666667,0.0,0,0,0.8666666666666667,0.0,0.0,26,1.0,,0,"{""correct"": 26, ""incorrect"": 4}"
texture,pattern,prefix,1,30,30,0,30,0.9,0.03333333333333333,1,0,0.8666666666666667,0.0,0.0,26,1.0,,0,"{""correct"": 27, ""incorrect"": 3}"
texture,pattern,prefix,2,30,30,0,30,0.8333333333333334,-0.03333333333333333,0,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,prefix,3,30,30,0,30,0.8666666666666667,0.0,1,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 26, ""incorrect"": 4}"
texture,pattern,prefix,4,30,30,0,30,0.8666666666666667,0.0,1,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 26, ""incorrect"": 4}"
texture,pattern,prefix,5,30,30,0,30,0.8333333333333334,-0.03333333333333333,0,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,prefix,6,30,30,0,30,0.8,-0.06666666666666667,0,2,0.8666666666666667,0.0,0.0,26,0.9230769230769231,,0,"{""correct"": 24, ""incorrect"": 6}"
texture,pattern,prefix,7,30,30,0,30,0.7666666666666667,-0.1,0,3,0.8666666666666667,0.0,0.0,26,0.8846153846153846,,0,"{""correct"": 23, ""incorrect"": 7}"
texture,pattern,prefix,8,30,30,0,30,0.8333333333333334,-0.03333333333333333,0,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,prefix,9,30,30,0,30,0.8333333333333334,-0.03333333333333333,0,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,prefix,10,30,30,0,30,0.8333333333333334,-0.03333333333333333,0,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,suffix,0,30,30,0,30,0.8333333333333334,-0.03333333333333333,0,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,suffix,1,30,30,0,30,0.9,0.03333333333333333,1,0,0.8666666666666667,0.0,0.0,26,1.0,,0,"{""correct"": 27, ""incorrect"": 3}"
texture,pattern,suffix,2,30,30,0,30,0.8333333333333334,-0.03333333333333333,1,2,0.8666666666666667,0.0,0.0,26,0.9230769230769231,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,suffix,3,30,30,0,30,0.9,0.03333333333333333,1,0,0.8666666666666667,0.0,0.0,26,1.0,,0,"{""correct"": 27, ""incorrect"": 3}"
texture,pattern,suffix,4,30,30,0,30,0.8333333333333334,-0.03333333333333333,0,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,suffix,5,30,30,0,30,0.8333333333333334,-0.03333333333333333,0,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,suffix,6,30,30,0,30,0.8666666666666667,0.0,1,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 26, ""incorrect"": 4}"
texture,pattern,suffix,7,30,30,0,30,0.8666666666666667,0.0,1,1,0.8666666666666667,0.0,0.0,26,0.9615384615384616,,0,"{""correct"": 26, ""incorrect"": 4}"
texture,pattern,suffix,8,30,30,0,30,0.8666666666666667,0.0,0,0,0.8666666666666667,0.0,0.0,26,1.0,,0,"{""correct"": 26, ""incorrect"": 4}"
texture,pattern,suffix,9,30,30,0,30,0.8333333333333334,-0.03333333333333333,1,2,0.8666666666666667,0.0,0.0,26,0.9230769230769231,,0,"{""correct"": 25, ""incorrect"": 5}"
texture,pattern,suffix,10,30,30,0,30,0.8666666666666667,0.0,0,0,0.8666666666666667,0.0,0.0,26,1.0,,0,"{""correct"": 26, ""incorrect"": 4}"
texture,surface,prefix,0,20,20,0,20,0.7,0.0,0,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 14, ""incorrect"": 5, ""missing"": 1}"
texture,surface,prefix,1,20,20,0,20,0.75,0.05,2,1,0.7,0.0,0.1,14,0.9285714285714286,,0,"{""correct"": 15, ""incorrect"": 3, ""missing"": 2}"
texture,surface,prefix,2,20,20,0,20,0.7,0.0,2,2,0.7,0.0,0.05,14,0.8571428571428571,,0,"{""correct"": 14, ""incorrect"": 5, ""missing"": 1}"
texture,surface,prefix,3,20,20,0,20,0.75,0.05,1,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 15, ""incorrect"": 4, ""missing"": 1}"
texture,surface,prefix,4,20,20,0,20,0.75,0.05,2,1,0.7,0.0,0.05,14,0.9285714285714286,,0,"{""correct"": 15, ""incorrect"": 4, ""missing"": 1}"
texture,surface,prefix,5,20,20,0,20,0.8,0.1,3,1,0.7,0.0,0.05,14,0.9285714285714286,,0,"{""correct"": 16, ""incorrect"": 3, ""missing"": 1}"
texture,surface,prefix,6,20,20,0,20,0.75,0.05,2,1,0.7,0.0,0.05,14,0.9285714285714286,,0,"{""correct"": 15, ""incorrect"": 4, ""missing"": 1}"
texture,surface,prefix,7,20,20,0,20,0.85,0.15,3,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 17, ""incorrect"": 2, ""missing"": 1}"
texture,surface,prefix,8,20,20,0,20,0.7,0.0,2,2,0.7,0.0,0.05,14,0.8571428571428571,,0,"{""correct"": 14, ""incorrect"": 5, ""missing"": 1}"
texture,surface,prefix,9,20,20,0,20,0.9,0.2,4,0,0.7,0.0,0.0,14,1.0,,0,"{""correct"": 18, ""incorrect"": 2}"
texture,surface,prefix,10,20,20,0,20,0.85,0.15,4,1,0.7,0.0,0.0,14,0.9285714285714286,,0,"{""correct"": 17, ""incorrect"": 3}"
texture,surface,suffix,0,20,20,0,20,0.85,0.15,4,1,0.7,0.0,0.0,14,0.9285714285714286,,0,"{""correct"": 17, ""incorrect"": 3}"
texture,surface,suffix,1,20,20,0,20,0.8,0.1,2,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 16, ""incorrect"": 3, ""missing"": 1}"
texture,surface,suffix,2,20,20,0,20,0.7,0.0,2,2,0.7,0.0,0.05,14,0.8571428571428571,,0,"{""correct"": 14, ""incorrect"": 5, ""missing"": 1}"
texture,surface,suffix,3,20,20,0,20,0.75,0.05,1,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 15, ""incorrect"": 4, ""missing"": 1}"
texture,surface,suffix,4,20,20,0,20,0.8,0.1,3,1,0.7,0.0,0.0,14,0.9285714285714286,,0,"{""correct"": 16, ""incorrect"": 4}"
texture,surface,suffix,5,20,20,0,20,0.75,0.05,1,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 15, ""incorrect"": 4, ""missing"": 1}"
texture,surface,suffix,6,20,20,0,20,0.7,0.0,1,1,0.7,0.0,0.05,14,0.9285714285714286,,0,"{""correct"": 14, ""incorrect"": 5, ""missing"": 1}"
texture,surface,suffix,7,20,20,0,20,0.85,0.15,3,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 17, ""incorrect"": 2, ""missing"": 1}"
texture,surface,suffix,8,20,20,0,20,0.85,0.15,3,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 17, ""incorrect"": 2, ""missing"": 1}"
texture,surface,suffix,9,20,20,0,20,0.75,0.05,1,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 15, ""incorrect"": 4, ""missing"": 1}"
texture,surface,suffix,10,20,20,0,20,0.7,0.0,0,0,0.7,0.0,0.05,14,1.0,,0,"{""correct"": 14, ""incorrect"": 5, ""missing"": 1}"
